dataset,noise_type,noise_p,shots,meas_seed,r2,mse
mackey,depolarizing,0.0,None,None,0.9950207180001717,0.00484332766769871
mackey,depolarizing,0.0005,None,None,0.9916966651044963,0.008076620612158037
mackey,depolarizing,0.001,None,None,0.9869312090213159,0.012711960666741458
mackey,depolarizing,0.002,None,None,0.9735795118779981,0.025699103027265403
mackey,depolarizing,0.003,None,None,0.955889358963664,0.042906243948138856
mackey,depolarizing,0.005,None,None,0.9105954230576375,0.08696347407894733
mackey,depolarizing,0.008,None,None,0.8269602720422711,0.16831505065541916
mackey,depolarizing,0.01,None,None,0.7660160727222834,0.22759522935636764
mackey,depolarizing,0.015,None,None,0.6122021759579495,0.3772093909766439
mackey,depolarizing,0.02,None,None,0.47158413190686277,0.5139879994896345
mackey,depolarizing,0.03,None,None,0.25503141996920975,0.7246279554670181
mackey,depolarizing,0.05,None,None,0.03784101014627306,0.9358881976245245
mackey,depolarizing,0.08,None,None,-0.04739706045438585,1.0187989276646503
mackey,depolarizing,0.1,None,None,-0.058997386656739925,1.0300825185221534
mackey,bit_flip,0.0,None,None,0.9950207180001717,0.00484332766769871
mackey,bit_flip,0.0005,None,None,0.9909174149106081,0.008834594156184716
mackey,bit_flip,0.001,None,None,0.9848204543135997,0.014765083320963525
mackey,bit_flip,0.002,None,None,0.9674519775761721,0.0316593311123246
mackey,bit_flip,0.003,None,None,0.9443773684859197,0.054103910999947824
mackey,bit_flip,0.005,None,None,0.8858949573388578,0.11098951820035546
mackey,bit_flip,0.008,None,None,0.7808313090013341,0.21318450833749514
mackey,bit_flip,0.01,None,None,0.7066690562676112,0.2853218346782178
mackey,bit_flip,0.015,None,None,0.5283049616920688,0.4588158754277743
mackey,bit_flip,0.02,None,None,0.3765058657080732,0.6064702483948571
mackey,bit_flip,0.03,None,None,0.16621697554892323,0.8110174100042167
mackey,bit_flip,0.05,None,None,-0.0066452594716683855,0.979159813990239
mackey,bit_flip,0.08,None,None,-0.05621540573729544,1.0273764968188996
mackey,bit_flip,0.1,None,None,-0.06126771253000829,1.0322908554102974
mackey,phase_flip,0.0,None,None,0.9950207180001717,0.00484332766769871
mackey,phase_flip,0.0005,None,None,0.9937464123979773,0.006082839625531986
mackey,phase_flip,0.001,None,None,0.9921886071412891,0.007598110562358809
mackey,phase_flip,0.002,None,None,0.9882566749419697,0.01142268527195254
mackey,phase_flip,0.003,None,None,0.9832927447576726,0.016251080290141863
mackey,phase_flip,0.005,None,None,0.9705346347757995,0.02866084279503295
mackey,phase_flip,0.008,None,None,0.945279549043335,0.053226363583444715
mackey,phase_flip,0.01,None,None,0.9250669436671551,0.07288708391583446
mackey,phase_flip,0.015,None,None,0.8658645535564167,0.1304730117719222
mackey,phase_flip,0.02,None,None,0.7988152637218564,0.19569158757591773
mackey,phase_flip,0.03,None,None,0.6579146107303098,0.3327450886739269
mackey,phase_flip,0.05,None,None,0.4086542716619789,0.5751996226230432
mackey,phase_flip,0.08,None,None,0.17135846718345604,0.806016301674214
mackey,phase_flip,0.1,None,None,0.0840154171527886,0.8909745367790558
mackey,amplitude_damp,0.0,None,None,0.9950207180001717,0.00484332766769871
mackey,amplitude_damp,0.0005,None,None,0.994241081876941,0.005601676603651783
mackey,amplitude_damp,0.001,None,None,0.9933126018752545,0.006504805384312969
mackey,amplitude_damp,0.002,None,None,0.9910242044629065,0.008730720386174208
mackey,amplitude_damp,0.003,None,None,0.9881847829878893,0.011492614287881842
mackey,amplitude_damp,0.005,None,None,0.9809627535748926,0.01851745338599008
mackey,amplitude_damp,0.008,None,None,0.9666492551696847,0.03244013598358034
mackey,amplitude_damp,0.01,None,None,0.9550521288544804,0.043720614323662636
mackey,amplitude_damp,0.015,None,None,0.9200095010407985,0.07780643811205726
mackey,amplitude_damp,0.02,None,None,0.8779447265219257,0.11872267588886672
mackey,amplitude_damp,0.03,None,None,0.7789016173143544,0.21506151171629537
mackey,amplitude_damp,0.05,None,None,0.5473809462732915,0.4402607415924112
mackey,amplitude_damp,0.08,None,None,0.16698941376784748,0.8102660624409671
mackey,amplitude_damp,0.1,None,None,-0.09508018698184117,1.0651801139482882
